"","name","position","specialty","education"
"1","ABBOTT,DAVID H.","Professor","Obstetrics &amp; Gynecology","PHD 1979 University of Edinburgh"
"2","ABD-ELSAYED,ALAA A","Assoc Professor (Chs)","Anesthesiology","MD 2000 University of Assiut"
"3","ABDUALLAH,FAISAL","Professor","Art","PHD 2012 Royal College of Art"
"4","ABRAHAM,OLUFUNMILOLA","Assistant Professor","Pharmacy","PHD 2013 Univ of Wisconsin-Madison"
"5","ABRAMS,SAMANTHA","Assoc Lecturer","Information School","MA 2017 Univ of Wisconsin-Madison"
"6","ABRAMSON,LYN","Professor","Psychology","PHD 1978 University of Pennsylvania"
"7","ACKER,LINDSAY","Lecturer","Accting &amp; Info Sys","MACC 2005 Univ of Wisconsin-Madison"
"8","ACKERMAN,STEVEN","Professor","Atmospheric &amp; Oceanic Sciences","PHD 1987 Colorado State University"
"9","ADAMCZYK,PETER GABRIEL","Assistant Professor","Mechanical Engineering","PHD 2008 Univ of Michigan at Ann Arbor"
"10","ADAMES-CORRALIZA,ANGEL","Assistant Professor","Atmospheric &amp; Oceanic Sciences","PHD 2018 University of Washington"
"11","ADAMS,AERON","Clinical Asst Prof","Nursing","DNP 2017 Univ of Wisconsin-Madison"
"12","ADAMS,MEGAN","Asst Faculty Assoc","Information School","MA  University of South Florida"
"13","ADCOCK,SARAH","Assistant Professor","Animal And Dairy Sciences","PHD 2020 Univ of California Davis"
"14","ADDINGTON,REBECCA LYNN","Senior Lecturer","Psychology","PHD 1998 Univ of Wisconsin-Madison"
"15","ADDO,FENABA","Associate Professor","School Of Human Ecology","PHD 2012 Ithaca College"
"16","ADELL,SANDRA","Professor","Afro-American Studies","PHD 1989 Univ of Wisconsin-Madison"
"17","AFFI,ABOUD","Clinical Adjunct Professor","Volunteer Staff","MD 1989 University Of Aleppo"
"18","AGARWAL,PRIYANKA","Assistant Professor","Curriculum And Instruction","PHD 2019 Univ of California Irvine"
"19","AGASIE,ROBERT","Instrmt Innovator/Ins","Engineering Research Center","MS 1997 Univ of Wisconsin-Madison"
"20","AGOKE,ADEOLA","Asst Faculty Assoc","African Cultural Studies","PHD 2019 Univ of Wisconsin-Madison"
"21","AHLQUIST,PAUL GERALD","Professor","Plant Pathology","PHD 1981 Univ of Wisconsin-Madison"
"22","AHMAD,JAMEEL","Senior Lecturer","South Asian Sum Lang Instit",NA
"23","AHMAD,NIHAL","Professor","Dermatology","PHD 1989 University of Lucknow"
"24","AHMED,AZAM SYED","Assoc Professor (Chs)","Neurological Surgery","MD 2003 Loyola University of Chicago"
"25","AHN,JAERIN","Assoc Faculty Assoc","Asian Languages &amp; Cultures","MA 2013 Ewha Womans University"
"26","AHN,SUE","Professor","Civil &amp; Environmental Engr","PHD  Univ of California Berkeley"
"27","AHN,YEOHYUN","Assistant Professor","Art","MFA 2007 Maryland Institute Colg Of Art"
"28","AHRENS,SARAH ELIZABETH","Clinical Assoc Prof","Medicine","MD 2002 U of California San Francisco"
"29","AI,ALBERT L","Visiting Asst Prof","Mathematics","PHD 2019 Univ of California Berkeley"
"30","AIKEN,JEFFREY P","Adjunct Instructor","Law School","JD 1972 Marquette University"
"31","AIZAWA,NAOKI","Assistant Professor","Economics","PHD 2014 University of Pennsylvania"
"32","AJMANI,VIVEK","Assoc Faculty Assoc","Engr Professional Development","PHD  "
"33","AKELLA,ADITYA","Professor","Computer Sciences","PHD 2005 Carnegie-Mellon University"
"34","AL-ADRA,DAVID","Assistant Professor","Surgery","PHD 2012 University of Alberta"
"35","AL-SUBU,AWNI M","Asst Professor (Chs)","Pediatrics","MD 2005 Al-Quds University"
"36","ALAGOZ,OGUZHAN","Professor","Industrial &amp; Systems Engr","PHD 2004 University of Pittsburgh"
"37","ALARID,ELAINE","Professor","Oncology","PHD 1991 Univ of California Berkeley"
"38","ALATOUT,SAMER N","Associate Professor","Community &amp; Environ Sociology","PHD 2002 Cornell University"
"39","ALBARGHOUTHI,AWS","Assistant Professor","Computer Sciences","PHD 2014 University of Toronto"
"40","ALBERS,CRAIG","Associate Professor","Educational Psychology","PHD 2002 Arizona State University"
"41","ALBERT,LAURA","Professor","Industrial &amp; Systems Engr","PHD 2006 Univ of IL at Urbana-Champaign"
"42","ALBERTINI,MARK RICHARD","Professor","Medicine","MD 1984 University of Vermont"
"43","ALCALA GALAN,MERCEDES","Associate Professor","Spanish And Portuguese","PHD 1994 Univ Complutense de Madrid"
"44","ALDAG,RAY","Professor","Management &amp; Human Resources","PHD 1974 Michigan State University"
"45","ALDER,SIMEON DAVID","Faculty Associate","Economics","PHD 2009 Univ of California Los Angeles"
"46","ALESSANDRINO,KAYLA","Clinical Instructor","Medical Sciences",NA
"47","ALEXANDER,ANDREW LAFAYETTE","Professor","Medical Physics","PHD 1994 University of Arizona"
"48","ALEXANDER,ANGELA","Faculty Associate","English","MA 2007 University Of Central Florida"
"49","ALEXANDER,LACEY ANN","Clinical Asst Prof","Nursing","PHD 2018 Univ of Wisconsin-Madison"
"50","ALI,SHANTEL D","Asst Prof Of Mil Sci","Military Science","BA 2002 "
"51","ALI,SYED EKHTEYAR","Senior Lecturer","South Asian Sum Lang Instit","PHD  "
"52","ALIBALI,MARTHA W.","Professor","Psychology","PHD 1994 University of Chicago"
"53","ALISCH,REID S","Assistant Professor","Neurological Surgery","PHD 2003 Univ of Michigan at Ann Arbor"
"54","ALLEN,CAITILYN","Professor","Plant Pathology","PHD 1987 VA Polytechnic Inst &amp; State U"
"55","ALLEN,DAVID","Professor","Pediatrics","MD 1980 Duke University"
"56","ALLEN,HEATHER","Associate Professor","French And Italian","PHD 2002 Emory University"
"57","ALLEN,MATT","Professor","Engineering Physics","PHD 2005 Georgia Inst of Technology"
"58","ALLEWAERT,MONIQUE","Associate Professor","English","PHD 2006 Duke University"
"59","ALLIE,MARK C","Faculty Associate","Electrical &amp; Computer Engr","MS 1983 Univ of Wisconsin-Madison"
"60","ALONSO,ARACELI","Dis Lecturer","Gender And Women Studies","PHD 2002 Univ of Wisconsin-Madison"
"61","ALTINO,SOH-HYUN PARK","Associate Professor","Mead Witter School Of Music","PHD 2002 Cleveland Institute Of Music"
"62","ALTSCHAFL,BETH","Faculty Associate","Academic Affairs","PHD 2006 Univ of Wisconsin-Madison"
"63","ALTSECH,MOSES","Lecturer","Marketing","PHD 1996 Pennsylvania State University"
"64","ALTWIES,JOY","Faculty Associate","Engr Professional Development","PHD 2013 Univ of Wisconsin-Madison"
"65","ALVAREZ,ELIZABETH E","Clinical Asst Prof","Medical Sciences","DVM 2003 Michigan State University"
"66","ALVAREZ,SAYLIN","Senior Lecturer","Spanish And Portuguese","PHD  Univ of Wisconsin-Madison"
"67","AMADOR-NOGUEZ,DANIEL","Associate Professor","Bacteriology","PHD 2007 Baylor University"
"68","AMANN,KURT","Associate Professor","Integrative Biology","PHD 1999 Univ of Wisconsin-Madison"
"69","AMASINO,RICHARD M.","Professor","Biochemistry","PHD 1982 Indiana University"
"70","AMATO,FELICE CATHERINE","Lecturer","Art","PHD 2018 Univ of Wisconsin-Madison"
"71","AMINE,LAILA","Associate Professor","English","PHD 2011 Indiana University"
"72","AMSBARY,PAUL","Adjunct Assoc Prof","Information School","MS 2007 Georgia Inst of Technology"
"73","AN,PANDUAN","Visiting Asst Prof","Statistics","PHD 2019 Ohio University"
"74","AN,ZHE GIGI","Assistant Professor","Rehab Psychology &amp; Special Ed","PHD 2018 University of Kansas"
"75","ANANTHARAMAN,KARTHIK","Assistant Professor","Bacteriology","PHD 2014 Univ of Michigan at Ann Arbor"
"76","ANCOS GARCIA,PABLO","Associate Professor","Spanish And Portuguese","PHD 2004 Univ of Wisconsin-Madison"
"77","ANDERSEN,CLAUS E","Assistant Professor","German, Nordic &amp; Slavic","PHD 2015 University of Helsinki"
"78","ANDERSON,DAVID","Professor","Electrical &amp; Computer Engr","PHD 1984 Univ of Wisconsin-Madison"
"79","ANDERSON,DAVID F","Professor","Mathematics","PHD 2005 Duke University"
"80","ANDERSON,KATHRYN","Lecturer","Community &amp; Environ Sociology","PHD 2019 Univ of Wisconsin-Madison"
"81","ANDERSON,LORI","Assistant Professor","Nursing","PHD 2006 Univ of Wisconsin-Madison"
"82","ANDERSON,MARK","Assistant Professor","Mechanical Engineering","PHD 1998 Univ of Wisconsin-Madison"
"83","ANDERSON,PETER","Senior Lecturer","Nutritional Sciences","MS 1995 Univ of Wisconsin-Madison"
"84","ANDERSON,RICHARD A.","Professor","Administration","PHD 1982 Univ of Minnesota-Twin Cities"
"85","ANDERSON,ROZALYN","Associate Professor","Medicine","PHD 1999 Univ of Dublin-Trinity College"
"86","ANDES,DAVID R.","Professor","Medicine","MD 1992 Univ of Missouri-Columbia"
"87","ANDREAE,SUSAN J","Assistant Professor","Kinesiology","PHD 2015 Univ of Alabama at Birmingham"
"88","ANDRESEN,CHRISTIAN G.","Assistant Professor","Geography","PHD 2014 University Of Texas At El Paso"
"89","ANDREWS,JOSEPH","Assistant Professor","Mechanical Engineering","PHD 2019 Duke University"
"90","ANDREWS,LISA M","Assoc Faculty Assoc","Consumer Science","MBA 2004 Univ of Wisconsin-Madison"
"91","ANDREWS,URI","Associate Professor","Mathematics","PHD 2010 Univ of California Berkeley"
"92","ANDRZEJEWSKI,ANNA","Professor","Art History","PHD 2001 University of Delaware"
"93","ANE,CECILE","Professor","Botany","PHD 2000 U de Toulouse II (Le Mirail)"
"94","ANE,JEAN-MICHEL","Professor","Bacteriology","PHD 2002 U de Toulouse II (Le Mirail)"
"95","ANEX,ROBERT","Professor","Biological Systems Engineering","PHD 1995 Univ of California Davis"
"96","ANGENENT,SIGURD B.","Professor","Mathematics","PHD 1986 State Univ Of Leiden"
"97","ANGULO BRACHO,HERNAN LIZARDO","Clinical Instructor","Medical Sciences","DVM 1999 Univ Ncnl Autonoma de Mexico"
"98","ANGUS,JENNIFER","Professor","School Of Human Ecology","MFA 1991 Sch Of The Art Inst Of Chicago"
"99","ANIBAS,CALLI","Assoc Research Spec","Agronomy","MS 2020 Univ of Wisconsin-Madison"
"100","ANIBAS,MELISSA","Clinical Asst Prof","Nursing","MSN 2007 Univ of Wisconsin-Eau Claire"
"101","ANJUM,UMAR","Research Specialist","Asian Studies","M.PHIL  "
"102","ANNA,ERIKA","Asst Faculty Assoc","Nutritional Sciences","BS 2013 Univ of Wisconsin-Madison"
"103","ANSARI,ASEEM Z","Professor","Biochemistry","PHD 1995 Northwestern University"
"104","ANTONY,KATHLEEN","Asst Professor (Chs)","Obstetrics &amp; Gynecology","MD 2008 University Of Rochester"
"105","ARCHAMBAULT,JOHN","Assistant Dean/L","Engineering Student Developmnt","MS 1996 Univ of Wisconsin-Green Bay"
"106","ARCHDEACON,THOMAS J.","Professor","History","PHD 1971 Columbia University"
"107","ARD,BJ","Assistant Professor","Law School","PHD 2017 Yale University"
"108","AREFEVA,ALINA","Assistant Professor","Real Estate &amp; Urgan Land Econ","PHD  Stanford University"
"109","ARENDT,LISA","Assistant Professor","Comparative Biosciences","PHD 2002 Univ of Wisconsin-Madison"
"110","ARFA,SANDRA","Faculty Associate","English","MA 1972 Univ of Wisconsin-Madison"
"111","ARINKIN,DIMA","Professor","Mathematics","PHD  Harvard University"
"112","ARMSTRONG,GRANT W","Associate Professor","Spanish And Portuguese","PHD 2011 Georgetown University"
"113","ARMSTRONG,JOSHUA","Associate Professor","French And Italian","PHD 2013 University of Virginia"
"114","ARNDT,KIMBERLY KEGEL","Clinical Adjunct Asst Prof","Volunteer Staff","MD 2005 Univ of Wisconsin-Madison"
"115","ARNOLD,MICHAEL","Professor","Materials Science&amp;Engineering","PHD 2006 Northwestern University"
"116","ARNOLDY,COURTNEY JEANNE","Clinical Instructor","Small Animal Iii","DPT 1994 Univ of Wisconsin-Madison"
"117","ARORA,NEERAJ","Professor","Marketing","PHD 1995 Ohio State University"
"118","ARPACI-DUSSEAU,ANDREA C.","Professor","Computer Sciences","PHD 1998 Univ of California Berkeley"
"119","ARPACI-DUSSEAU,REMZI H.","Professor","Computer Sciences","PHD 1998 Univ of California Berkeley"
"120","ARRIAGA,FRANCISCO","Associate Professor","Soil Science","PHD 2000 Univ of Wisconsin-Madison"
"121","ARRIOLA APELO,SEBASTIAN I","Assistant Professor","Animal And Dairy Sciences","PHD 2013 VA Polytechnic Inst &amp; State U"
"122","ARTHUR,EMILY","Associate Professor","Art","MFA 2000 Pennsylvania Acad Of Fine Arts"
"123","ASCHENBROICH,SOPHIE ANN","Clinical Asst Prof","Pathobiological Sciences","PHD 2014 "
"124","ASEN,ROBERT","Professor","Communication Arts","PHD 1998 Northwestern University"
"125","ASHTON,LYDIA MAGDALENA TEJEDA","Assistant Professor","School Of Human Ecology","PHD 2014 Univ of California Berkeley"
